
--- START: bits=26 | Direct Limit=134217728 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
Sha256PlusFeistel | WidePipe |       4079 |     133158 |     0.03x
Sha256PlusFeistel | RobustInteraction |   35845071 |     141347 |   253.60x
FeistelPlusSha256 | Concatenation |   89792663 |     168518 |   532.84x
FeistelPlusSha256 | XorSum |      11004 |       8218 |     1.34x
FeistelPlusSha256 | HashThenHash |       8026 |     118006 |     0.07x
FeistelPlusSha256 | Interacting |   60120154 |     160329 |   374.98x
FeistelPlusSha256 | WidePipe |      20863 |     160329 |     0.13x
FeistelPlusSha256 | RobustInteraction |   86904534 |     168518 |   515.70x
--- END OF ROUND bits=26 ---

